# Indian high-growth tech employers, DPIIT unicorns, and major engineering centres.
# Curated for board discovery. Turned into board-registry rows by:
#   pnpm jobhunt:import-boards --employers-path docs/strategy/data/in-tech-employers.csv --market IN
name,sector
Pinecone India,vector-database
LanceDB India,vector-database
Langfuse India,llm-observability
Arize AI India,ml-observability
Fiddler AI India,ml-observability
Arthur AI India,ml-observability
WhyLabs India,data-observability
Monte Carlo India,data-observability
Great Expectations India,data-quality
Soda India,data-quality
dbt Labs India,data-transformation
Airbyte India,data-integration
Fivetran India,data-integration
Meltano India,dataops
Cube India,semantic-layer
MotherDuck India,analytics-database
ClickHouse India,olap-database
StarRocks India,realtime-analytics
Apache Pinot,realtime-olap
Rockset India,search-analytics
SingleStore India,distributed-sql
CockroachDB India,distributed-sql
YugabyteDB India,distributed-sql
TiDB India,distributed-sql
Scandit India,computer-vision
Anyline India,ocr-mobile
Onfido India,identity-verification
Veriff India,identity-verification
Sumsub India,kyc-compliance
Jumio India,identity-verification
ComplyAdvantage India,aml-screening
Unit21 India,risk-operations
Sardine India,fraud-prevention
Sift India,fraud-detection
Riskified India,ecommerce-fraud
Forter India,trust-platform
Signifyd India,commerce-protection
Accertify India,fraud-management
Kount India,fraud-protection
EverC India,cyber-intelligence
BioCatch India,behavioral-biometrics
Socure India,identity-verification
Persona India,identity-platform
Trulioo India,global-identity
Ekata India,identity-data
LexisNexis Risk India,risk-solutions
TransUnion India,credit-analytics
Experian India,information-services
Equifax India,credit-bureau
CRIF High Mark,credit-information
CreditVidya,lending-intelligence
CreditMantri,credit-improvement
BankBazaar,financial-marketplace
Paisabazaar,fintech-marketplace
MyMoneyMantra,loan-marketplace
Policybazaar,insurtech
Turtlemint,insurtech
Digit Insurance,insurtech
Acko,insurtech
Coverfox,insurtech
RenewBuy,insurtech
InsuranceDekho,insurtech
Zopper,embedded-insurance
Plum,health-insurance-saas
Loop Health,health-benefits
Onsurity,employee-healthcare
Kenko Health,health-financing
Even Healthcare,managed-care
Pristyn Care,elective-surgery
Glamyo Health,elective-surgery
Medfin,daycare-surgery
Ayu Health,hospital-chain
HexaHealth,hospital-care
Careernet,talent-solutions
Husys,hr-consulting
Peoplestrong,hr-saas
Greytip,hr-payroll
Keka,hr-software
ZingHR,hr-tech
HROne,hr-automation
Pocket HRMS,payroll-software
Spine Technologies,hr-payroll
FactoHR,hr-payroll
SumoHR,hr-software
Qandle,all-in-one-hr
Keka HR,hr-management
Workstatus,workforce-management
EmpMonitor,employee-monitoring
Desklog,time-tracking
DeskTime India,time-tracking
Hubstaff India,remote-workforce
Time Doctor India,time-tracking
Toggl India,time-tracking
Harvest India,time-tracking
Clockify India,time-tracking
Paymo India,work-management
Scoro India,work-management
Teamwork India,project-management
ClickUp India,productivity
Asana India,work-management
Monday.com India,work-os
Wrike India,collaborative-work
Smartsheet India,enterprise-work
Notion India,connected-workspace
Coda India,all-in-one-doc
Airtable India,app-platform
Basecamp India,project-management
Trello India,visual-collaboration
Miro India,visual-workspace
Mural India,collaborative-intelligence
Lucid India,visual-collaboration
Canva India,visual-design
Figma India,collaborative-interface
InVision India,digital-product-design
Sketch India,design-platform
Zeplin India,design-delivery
Abstract India,version-control-design
Marvel App India,design-platform
Proto.io India,prototyping
Framer India,interactive-design
Principle India,interaction-design
Origami India,design-prototyping
Webflow India,visual-development
Bubble India,visual-programming
FlutterFlow India,low-code-flutter
Draftbit India,native-apps
Bravo Studio India,app-builder
Glide India,no-code-apps
Adalo India,no-code-apps
Softr India,no-code-portal
Stacker India,customer-portals
Internal.io India,internal-tools
Retool India,internal-software
Superblocks India,programmable-internal
Airplane India,developer-platform
Windmill India,developer-platform
Temporal India,durable-execution
Inngest India,event-driven-workflows
Trigger.dev India,background-jobs
Defer India,background-tasks
Quirrel India,job-queuing
BullMQ India,message-queue
Agenda India,job-scheduler
Bree India,nodejs-job-scheduler
Node-cron India,cron-tasks
